[0.71899]: 1ba2B 2dri
1BA2_03_01_unrelaxed_rank_1_model_1: 0.7382 0.9899
1BA2_03_01_unrelaxed_rank_2_model_4: 0.7452 0.9884
1BA2_03_01_unrelaxed_rank_3_model_2: 0.7415 0.9898
1BA2_03_01_unrelaxed_rank_4_model_3: 0.7469 0.9898
1BA2_03_01_unrelaxed_rank_5_model_5: 0.7557 0.9847
1BA2_03_02_unrelaxed_rank_1_model_4: 0.7479 0.9874
1BA2_03_02_unrelaxed_rank_2_model_2: 0.7423 0.9898
1BA2_03_02_unrelaxed_rank_3_model_3: 0.7492 0.9890
1BA2_03_02_unrelaxed_rank_4_model_1: 0.7629 0.9569
1BA2_03_02_unrelaxed_rank_5_model_5: 0.7531 0.9868
1BA2_03_03_unrelaxed_rank_1_model_1: 0.7412 0.9899
1BA2_03_03_unrelaxed_rank_2_model_4: 0.7467 0.9879
1BA2_03_03_unrelaxed_rank_3_model_2: 0.7384 0.9902
1BA2_03_03_unrelaxed_rank_4_model_3: 0.7468 0.9900
1BA2_03_03_unrelaxed_rank_5_model_5: 0.7543 0.9855
1BA2_04_01_unrelaxed_rank_1_model_3: 0.7694 0.9388
1BA2_04_01_unrelaxed_rank_2_model_4: 0.7651 0.9354
1BA2_04_01_unrelaxed_rank_3_model_1: 0.7792 0.9033
1BA2_04_01_unrelaxed_rank_4_model_2: 0.7914 0.9024
1BA2_04_01_unrelaxed_rank_5_model_5: 0.8968 0.7987
1BA2_04_02_unrelaxed_rank_1_model_3: 0.7590 0.9362
1BA2_04_02_unrelaxed_rank_2_model_2: 0.7428 0.9435
1BA2_04_02_unrelaxed_rank_3_model_4: 0.7623 0.9387
1BA2_04_02_unrelaxed_rank_4_model_1: 0.7837 0.9025
1BA2_04_02_unrelaxed_rank_5_model_5: 0.7881 0.9224
1BA2_04_03_unrelaxed_rank_1_model_3: 0.7840 0.9183
1BA2_04_03_unrelaxed_rank_2_model_2: 0.7741 0.9115
1BA2_04_03_unrelaxed_rank_3_model_1: 0.7757 0.9051
1BA2_04_03_unrelaxed_rank_4_model_4: 0.8019 0.9051
1BA2_04_03_unrelaxed_rank_5_model_5: 0.8359 0.8633
1BA2_05_01_unrelaxed_rank_1_model_1: 0.7847 0.9328
1BA2_05_01_unrelaxed_rank_2_model_2: 0.7745 0.9481
1BA2_05_01_unrelaxed_rank_3_model_4: 0.7845 0.9489
1BA2_05_01_unrelaxed_rank_4_model_5: 0.9263 0.8108
1BA2_05_01_unrelaxed_rank_5_model_3: 0.8913 0.8456
1BA2_05_02_unrelaxed_rank_1_model_2: 0.8376 0.8906
1BA2_05_02_unrelaxed_rank_2_model_4: 0.7845 0.9459
1BA2_05_02_unrelaxed_rank_3_model_3: 0.8445 0.8815
1BA2_05_02_unrelaxed_rank_4_model_1: 0.8057 0.9181
1BA2_05_02_unrelaxed_rank_5_model_5: 0.9309 0.8069
1BA2_05_03_unrelaxed_rank_1_model_4: 0.7874 0.9453
1BA2_05_03_unrelaxed_rank_2_model_5: 0.9280 0.8008
1BA2_05_03_unrelaxed_rank_3_model_3: 0.8989 0.8367
1BA2_05_03_unrelaxed_rank_4_model_2: 0.7889 0.9283
1BA2_05_03_unrelaxed_rank_5_model_1: 0.7990 0.9244
1BA2_06_01_unrelaxed_rank_1_model_4: 0.7462 0.9820
1BA2_06_01_unrelaxed_rank_2_model_3: 0.7435 0.9837
1BA2_06_01_unrelaxed_rank_3_model_2: 0.7403 0.9824
1BA2_06_01_unrelaxed_rank_4_model_1: 0.7421 0.9859
1BA2_06_01_unrelaxed_rank_5_model_5: 0.7476 0.9853
1BA2_06_02_unrelaxed_rank_1_model_4: 0.7502 0.9820
1BA2_06_02_unrelaxed_rank_2_model_3: 0.7454 0.9835
1BA2_06_02_unrelaxed_rank_3_model_2: 0.7395 0.9840
1BA2_06_02_unrelaxed_rank_4_model_1: 0.7418 0.9860
1BA2_06_02_unrelaxed_rank_5_model_5: 0.7494 0.9851
1BA2_06_03_unrelaxed_rank_1_model_4: 0.7485 0.9821
1BA2_06_03_unrelaxed_rank_2_model_2: 0.7418 0.9823
1BA2_06_03_unrelaxed_rank_3_model_3: 0.7429 0.9839
1BA2_06_03_unrelaxed_rank_4_model_1: 0.7412 0.9849
1BA2_06_03_unrelaxed_rank_5_model_5: 0.7488 0.9851
